ID	Name	Type	Size	Range
E1	레코드 구분	X(1)	1	[0 ~ 1]
E2	자료구분	9(2)	2	[1 ~ 3]
E3	세무서코드	X(3)	3	[3 ~ 6]
E4	일련번호	9(6)	6	[6 ~ 12]
E5	③사업자등록번호	X(10)	10	[12 ~ 22]
E6	⑦소득자 주민등록번호	X(13)	13	[22 ~ 35]
E7	관계	X(1)	1	[35 ~ 36]
E8	내･외국인구분	코드	NaN	[NaN ~ NaN]
E9	성명	X(30)	NaN	[NaN ~ 67]
E10	주민등록번호	X(13)	13	[67 ~ 80]
E11	기본공제	X(1)	1	[80 ~ 81]
E12	장애인공제	X(1)	1	[81 ~ 82]
E13	부녀자공제	X(1)	1	[82 ~ 83]
E14	경로우대공제	X(1)	1	[83 ~ 84]
E15	한부모가족공제	X(1)	1	[84 ~ 85]
E16	출산‧입양공제	X(1)	1	[85 ~ 86]
E17	자녀공제	X(1)	1	[86 ~ 87]
E18	교육비공제	X(1)	1	[87 ~ 88]
E19	혼인세액공제	X(1)	1	[88 ~ 89]
E20	공란	X(1)	1	[89 ~ 90]
E21	보험료_건강보험	9(10)	10	[90 ~ 100]
E22	보험료_고용보험	9(10)	10	[100 ~ 110]
E23	보험료_보장성보험	9(10)	10	[110 ~ 120]
E24	보험료_장애인전용 보장성보험	9(10)	10	[120 ~ 130]
E25	의료비_일반	9(10)	10	[130 ~ 140]
E26	의료비_미숙아‧선천성이상아	9(10)	10	[140 ~ 150]
E27	의료비_난임	9(10)	10	[150 ~ 160]
E28	의료비_6세이하‧65세이상‧장애인‧건강보험산정특례자	9(10)	10	[160 ~ 170]
E29	의료비_실손의료보험금	9(10)	10	[170 ~ 180]
E30	교육비_일반	9(10)	10	[180 ~ 190]
E31	교육비_장애인특수교육비	9(10)	10	[190 ~ 200]
E32	신용카드	9(10)	10	[200 ~ 210]
E33	직불카드등	9(10)	10	[210 ~ 220]
E34	현금영수증	9(10)	10	[220 ~ 230]
E35	문화‧체육 사용분	9(10)	10	[230 ~ 240]
E36	전통시장 사용분	9(10)	10	[240 ~ 250]
E37	대중교통 이용분	9(10)	10	[250 ~ 260]
E38	기부금	9(13)	13	[260 ~ 273]
E39	공란	9(10)	10	[273 ~ 283]
E40	공란	9(10)	10	[283 ~ 293]
E41	공란	9(10)	10	[293 ~ 303]
E42	보험료_건강보험	9(10)	10	[303 ~ 313]
E43	보험료_고용보험	9(10)	10	[313 ~ 323]
E44	보험료_보장성보험	9(10)	10	[323 ~ 333]
E45	보험료_장애인전용 보장성보험	9(10)	10	[333 ~ 343]
E46	의료비_일반	9(10)	10	[343 ~ 353]
